Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2012-04-28,22-246,OKC,,DAL,W (+1),0,34:31,4,7,.571,2,4,.500,9,10,.900,2,4,6,3,1,0,5,3,19,14.8,-1
2,2,2012-04-30,22-248,OKC,,DAL,W (+3),0,33:54,2,7,.286,1,3,.333,10,10,1.000,0,7,7,5,3,0,1,2,15,17.7,+16
3,3,2012-05-03,22-251,OKC,@,DAL,W (+16),0,26:21,3,10,.300,0,2,.000,4,6,.667,0,4,4,4,3,0,1,4,10,7.8,+17
4,4,2012-05-05,22-253,OKC,@,DAL,W (+6),0,34:26,11,16,.688,3,4,.750,4,5,.800,0,5,5,5,3,1,2,3,29,27.3,+16
5,5,2012-05-14,22-262,OKC,,LAL,W (+29),0,24:27,4,11,.364,0,4,.000,9,10,.900,0,2,2,1,2,0,2,3,17,10.6,+3
6,6,2012-05-16,22-264,OKC,,LAL,W (+2),0,27:19,3,8,.375,1,3,.333,6,6,1.000,0,3,3,2,2,1,5,3,13,7.4,+5
7,7,2012-05-18,22-266,OKC,@,LAL,L (-3),0,29:03,4,13,.308,2,5,.400,11,12,.917,0,4,4,1,3,0,1,5,21,15.0,+1
8,8,2012-05-19,22-267,OKC,@,LAL,W (+3),0,32:34,2,11,.182,1,6,.167,7,8,.875,0,6,6,3,0,0,1,3,12,6.4,+8
9,9,2012-05-21,22-269,OKC,,LAL,W (+16),0,30:36,6,10,.600,1,2,.500,4,4,1.000,1,7,8,4,1,0,1,3,17,16.8,+19
10,10,2012-05-27,22-275,OKC,@,SAS,L (-3),0,30:56,7,17,.412,5,9,.556,0,0,,2,4,6,1,2,0,4,5,19,9.2,-11
11,11,2012-05-29,22-277,OKC,@,SAS,L (-9),0,33:55,10,13,.769,0,1,.000,10,13,.769,2,5,7,4,2,0,0,6,30,29.0,+3
12,12,2012-05-31,22-279,OKC,,SAS,W (+20),0,26:03,5,10,.500,1,2,.500,4,4,1.000,1,3,4,3,0,0,1,1,15,12.3,+19
13,13,2012-06-02,22-281,OKC,,SAS,W (+6),0,32:19,4,13,.308,2,3,.667,1,2,.500,1,6,7,7,1,0,3,2,11,7.7,+12
14,14,2012-06-04,22-283,OKC,@,SAS,W (+5),0,34:32,6,11,.545,3,4,.750,5,6,.833,0,4,4,3,2,0,0,3,20,18.4,+24
15,15,2012-06-06,22-285,OKC,,SAS,W (+8),0,35:05,4,9,.444,3,4,.750,5,6,.833,0,5,5,4,0,0,3,3,16,11.0,+9
16,16,2012-06-12,22-291,OKC,,MIA,W (+11),0,22:14,2,6,.333,1,2,.500,0,0,,0,0,0,3,0,0,1,4,5,1.1,+2
17,17,2012-06-14,22-293,OKC,,MIA,L (-4),0,34:53,7,11,.636,2,3,.667,5,7,.714,0,4,4,2,1,0,2,3,21,15.7,+13
18,18,2012-06-17,22-296,OKC,@,MIA,L (-6),0,34:10,2,10,.200,0,4,.000,5,7,.714,1,5,6,6,2,0,2,4,9,6.8,-5
19,19,2012-06-19,22-298,OKC,@,MIA,L (-6),0,36:51,2,10,.200,1,5,.200,3,4,.750,2,8,10,2,1,0,4,5,8,1.6,-4
20,20,2012-06-21,22-300,OKC,@,MIA,L (-15),0,35:40,5,11,.455,3,8,.375,6,6,1.000,1,3,4,5,2,0,3,2,19,16.6,-17
