Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2013-04-21,23-238,HOU,@,OKC,L (-29),1,33:59,6,19,.316,1,6,.167,7,7,1.000,0,6,6,2,1,0,2,3,20,10.1,-28
2,2,2013-04-24,23-241,HOU,@,OKC,L (-3),1,45:20,9,24,.375,1,7,.143,17,20,.850,2,9,11,6,1,0,6,3,36,23.7,-4
3,3,2013-04-27,23-244,HOU,,OKC,L (-3),1,43:40,9,22,.409,2,8,.250,10,15,.667,1,7,8,6,2,2,2,4,30,23.0,0
4,4,2013-04-29,23-246,HOU,,OKC,W (+2),1,35:14,4,12,.333,0,4,.000,7,8,.875,0,1,1,3,5,1,10,5,15,3.9,+9
5,5,2013-05-01,23-248,HOU,@,OKC,W (+7),1,41:34,10,16,.625,7,9,.778,4,5,.800,0,8,8,3,1,1,3,2,31,25.8,+16
6,6,2013-05-03,23-250,HOU,,OKC,L (-9),1,43:24,7,22,.318,4,10,.400,8,11,.727,2,4,6,7,2,2,4,1,26,18.7,+3
