Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2010-04-18,20-235,OKC,@,LAL,L (-8),0,16:20,0,3,.000,0,3,.000,0,0,,0,0,0,0,0,0,1,4,0,-4.7,-11
2,2,2010-04-20,20-237,OKC,@,LAL,L (-3),0,9:36,0,2,.000,0,1,.000,0,0,,0,1,1,1,0,0,0,0,0,-0.4,-6
3,3,2010-04-22,20-239,OKC,,LAL,W (+5),0,31:56,4,7,.571,3,4,.750,7,8,.875,0,5,5,3,2,0,0,2,18,19.1,+12
4,4,2010-04-24,20-241,OKC,,LAL,W (+21),0,24:02,3,6,.500,2,4,.500,7,8,.875,0,5,5,4,2,1,1,6,15,15.2,+13
5,5,2010-04-27,20-244,OKC,@,LAL,L (-24),0,25:12,4,10,.400,1,3,.333,2,3,.667,1,1,2,1,0,0,1,1,11,5.5,-3
6,6,2010-04-30,20-247,OKC,,LAL,L (-1),0,12:57,1,3,.333,0,1,.000,0,0,,0,2,2,2,2,0,0,1,2,3.9,-1
