Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2011-04-17,21-234,OKC,,DEN,W (+4),0,25:48,1,5,.200,0,4,.000,3,4,.750,0,3,3,4,1,2,0,2,5,6.8,+7
2,2,2011-04-20,21-237,OKC,,DEN,W (+17),0,28:12,5,9,.556,2,5,.400,6,6,1.000,1,4,5,1,0,0,1,4,18,13.7,+4
3,3,2011-04-23,21-240,OKC,@,DEN,W (+3),0,31:44,3,8,.375,2,4,.500,2,4,.500,0,5,5,2,2,0,1,4,10,7.1,+11
4,4,2011-04-25,21-242,OKC,@,DEN,L (-3),0,31:23,2,5,.400,1,3,.333,2,2,1.000,1,7,8,5,1,2,3,4,7,8.4,+1
5,5,2011-04-27,21-244,OKC,,DEN,W (+3),0,32:25,2,7,.286,2,6,.333,6,8,.750,0,7,7,3,2,1,2,2,12,11.2,+4
6,6,2011-05-01,21-248,OKC,,MEM,L (-13),0,23:52,2,5,.400,1,3,.333,0,0,,0,2,2,2,1,0,2,5,5,1.3,-9
7,7,2011-05-03,21-250,OKC,,MEM,W (+9),0,30:21,5,9,.556,0,3,.000,11,11,1.000,0,3,3,5,3,1,2,4,21,21.2,+4
8,8,2011-05-07,21-254,OKC,@,MEM,L (-8),0,25:25,4,9,.444,1,5,.200,3,3,1.000,2,3,5,2,1,2,2,2,12,10.6,-20
9,9,2011-05-09,21-256,OKC,@,MEM,W (+10),0,49:25,4,11,.364,1,6,.167,10,10,1.000,2,5,7,7,0,3,1,2,19,21.0,+17
10,10,2011-05-11,21-258,OKC,,MEM,W (+27),0,26:28,4,8,.500,1,4,.250,0,0,,1,5,6,5,0,0,3,2,9,6.9,+29
11,11,2011-05-13,21-260,OKC,@,MEM,L (-12),0,39:20,5,10,.500,2,5,.400,2,3,.667,0,6,6,5,0,0,2,2,14,11.1,-5
12,12,2011-05-15,21-262,OKC,,MEM,W (+15),0,31:10,6,10,.600,4,8,.500,1,4,.250,0,4,4,3,4,1,1,0,17,18.2,+24
13,13,2011-05-17,21-264,OKC,@,DAL,L (-9),0,35:55,5,9,.556,1,4,.250,1,1,1.000,0,2,2,4,1,1,0,4,12,11.2,-13
14,14,2011-05-19,21-266,OKC,@,DAL,W (+6),0,32:21,6,9,.667,4,7,.571,7,8,.875,0,7,7,4,2,0,0,2,23,24.8,+14
15,15,2011-05-21,21-268,OKC,,DAL,L (-6),0,35:45,2,9,.222,0,4,.000,3,4,.750,2,7,9,1,1,0,2,2,7,3.5,+5
16,16,2011-05-23,21-270,OKC,,DAL,L (-7),0,22:53,3,5,.600,0,0,,1,2,.500,0,7,7,2,1,0,4,6,7,2.4,+4
17,17,2011-05-25,21-272,OKC,@,DAL,L (-4),0,34:21,7,11,.636,1,5,.200,8,10,.800,1,4,5,6,1,0,2,1,23,22.0,+3
