Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2018-04-15,23-130,MIL,@,BOS,L (-6),1,44:58,11,21,.524,0,1,.000,13,16,.813,2,11,13,7,3,0,4,6,35,29.7,-5
2,2,2018-04-17,23-132,MIL,@,BOS,L (-14),1,43:01,13,17,.765,0,1,.000,4,9,.444,1,8,9,8,1,1,3,3,30,27.5,-13
3,3,2018-04-20,23-135,MIL,,BOS,W (+24),1,27:21,8,13,.615,3,4,.750,0,0,,0,5,5,6,2,2,2,5,19,18.2,+16
4,4,2018-04-22,23-137,MIL,,BOS,W (+2),1,40:26,12,20,.600,0,2,.000,3,6,.500,2,5,7,5,0,0,2,4,27,19.4,-8
5,5,2018-04-24,23-139,MIL,@,BOS,L (-5),1,41:27,5,10,.500,0,0,,6,9,.667,0,10,10,9,2,2,2,4,16,18.9,-2
6,6,2018-04-26,23-141,MIL,,BOS,W (+11),1,41:24,13,23,.565,0,2,.000,5,8,.625,1,13,14,4,1,0,0,1,31,26.9,+17
7,7,2018-04-28,23-143,MIL,@,BOS,L (-16),1,41:34,7,17,.412,1,4,.250,7,7,1.000,2,7,9,5,1,1,4,5,22,15.6,-16
